target,m,T,k_true,n_clusters,delta,sum_abs_a,bound,actual_error,bound_holds,tightness,pruned_vs_target,full_vs_target
sin_7pi,2000,500,13,36,5.916200e-02,458.606081,2.713205e+01,6.125215e-02,1,0.002258,1.453897e-01,1.274194e-01
sin_7pi,3500,500,13,34,1.534210e-01,497.119156,7.626852e+01,8.297293e-01,1,0.010879,8.324667e-01,8.820106e-02
sin_7pi,5000,500,13,13,5.204010e-01,523.922783,2.726499e+02,1.583302e+00,1,0.005807,1.586977e+00,6.152007e-02
x_cubed,50,200,1,30,3.190400e-02,7.873363,2.511918e-01,6.458055e-04,1,0.002571,2.607355e-02,2.605068e-02
x_cubed,50,500,1,31,2.917200e-02,8.749854,2.552507e-01,3.098372e-04,1,0.001214,1.171722e-02,1.169919e-02
x_cubed,50,1000,1,30,3.842300e-02,9.279678,3.565531e-01,8.345900e-04,1,0.002341,6.490495e-03,6.428324e-03
x_cubed,50,5000,1,34,2.069700e-02,10.099904,2.090377e-01,1.811058e-04,1,0.000866,1.773522e-03,1.735276e-03
x_cubed,50,10000,1,37,1.598700e-02,10.334421,1.652164e-01,2.590581e-04,1,0.001568,1.131879e-03,1.085473e-03
x_cubed,100,200,1,39,1.065500e-01,8.746548,9.319447e-01,2.907632e-03,1,0.003120,2.458626e-02,2.420294e-02
x_cubed,100,500,1,40,1.072370e-01,9.443349,1.012676e+00,2.576549e-03,1,0.002544,1.255108e-02,1.219842e-02
x_cubed,100,1000,1,37,1.092270e-01,9.922891,1.083848e+00,2.467874e-03,1,0.002277,6.918303e-03,6.390082e-03
x_cubed,100,5000,1,47,9.384800e-02,10.732627,1.007236e+00,9.327707e-04,1,0.000926,1.829903e-03,1.570854e-03
x_cubed,100,10000,1,47,1.165550e-01,10.950559,1.276342e+00,2.364124e-03,1,0.001852,2.398915e-03,8.342074e-04
x_cubed,250,200,1,31,2.142900e-01,11.227860,2.406018e+00,7.829334e-03,1,0.003254,1.904562e-02,1.811603e-02
x_cubed,250,500,1,31,2.137540e-01,11.849301,2.532835e+00,6.755471e-03,1,0.002667,9.688451e-03,6.868057e-03
x_cubed,250,1000,1,33,2.143240e-01,12.233935,2.622026e+00,8.562777e-03,1,0.003266,9.077186e-03,3.784525e-03
x_cubed,250,5000,1,32,2.149920e-01,12.715992,2.733837e+00,6.433918e-03,1,0.002353,6.329603e-03,1.317452e-03
x_cubed,250,10000,1,36,2.150800e-01,12.857390,2.765367e+00,8.368481e-03,1,0.003026,8.320942e-03,7.843575e-04
x_cubed,500,200,1,17,1.198308e+00,12.740941,1.526757e+01,4.613437e-01,1,0.030217,4.604247e-01,1.837951e-02
x_cubed,500,500,1,16,1.321627e+00,13.126108,1.734782e+01,7.295862e-01,1,0.042056,7.295190e-01,7.640225e-03
x_cubed,500,1000,1,19,1.198467e+00,13.378537,1.603374e+01,5.006478e-01,1,0.031225,5.003996e-01,4.336506e-03
x_cubed,500,5000,1,17,1.254550e+00,13.843333,1.736715e+01,5.037670e-01,1,0.029007,5.033639e-01,1.401656e-03
x_cubed,500,10000,1,16,1.255626e+00,14.027432,1.761321e+01,5.220044e-01,1,0.029637,5.217896e-01,7.834718e-04
x_cubed,1000,200,1,10,1.995661e+00,17.039125,3.400432e+01,3.640178e+00,1,0.107050,3.641408e+00,2.012043e-02
x_cubed,1000,500,1,13,1.922857e+00,17.259038,3.318666e+01,2.500636e+00,1,0.075351,2.499397e+00,7.368420e-03
x_cubed,1000,1000,1,13,1.927088e+00,17.351263,3.343741e+01,2.702181e+00,1,0.080813,2.701869e+00,3.772971e-03
x_cubed,1000,5000,1,13,1.928861e+00,17.595275,3.393884e+01,2.977300e+00,1,0.087725,2.977102e+00,1.011455e-03
x_cubed,1000,10000,1,13,1.928480e+00,17.583975,3.391034e+01,3.063878e+00,1,0.090352,3.063215e+00,9.188765e-04
x_cubed,1500,200,1,6,2.136816e+00,21.641795,4.624453e+01,3.318532e+00,1,0.071761,3.319059e+00,2.253151e-02
x_cubed,1500,500,1,6,2.145168e+00,21.708677,4.656876e+01,3.591258e+00,1,0.077117,3.592083e+00,8.143359e-03
x_cubed,1500,1000,1,7,2.147836e+00,21.737487,4.668856e+01,3.678328e+00,1,0.078784,3.678582e+00,3.750590e-03
x_cubed,2000,500,1,7,2.002361e+00,26.044303,5.215010e+01,4.653782e+00,1,0.089238,4.654420e+00,7.006662e-03
x_cubed,3500,500,1,4,2.187372e+00,38.592837,8.441689e+01,2.724184e+00,1,0.032271,2.721092e+00,8.355409e-03
x_cubed,5000,500,1,4,2.147665e+00,51.268085,1.101067e+02,3.602374e+00,1,0.032717,3.603573e+00,7.861443e-03
